Name,Address,Culture,Religion,Language,Services,Postcode,State,Phone,Email,Website,Longitude,Latitude,ID
OneCare HomeCare,2 GUY Street KINGS MEADOWS 7249 TAS Australia,NA,NA,NA,NA,7249,TAS,6.10363E+11,homecare@onecare.org.au,https://www.onecare.org.au,147.1537238,-41.4656218,23
Medea Park Community Aged Care Package Service,17 Circassian Street ST HELENS 7216 TAS Australia,NA,"Anglican, Catholic, Jehovah's Witnesses, Salvation Army, Uniting Church",NA,NA,7216,TAS,6.10364E+11,info@medeapark.org.au,http://www.medeapark.org.au,148.2449509,-41.3234321,24
May Shaw Home Care - East Coast,37 WELLINGTON Street SWANSEA 7190 TAS Australia,NA,NA,NA,"Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mobility, People with terminal illness, Vision, Wellness and reablement",7190,TAS,6.10363E+11,shirley.raspin@mayshaw.com.au,http://www.mayshaw.org.au,148.0770498,-42.1274653,25
South Eastern Nursing & Home Care Assoc,12 SOMERVILLE Street SORELL 7172 TAS Australia,NA,NA,NA,NA,7172,TAS,6.10363E+11,mail@secommunitycare.com.au,NA,147.5621882,-42.7845872,26
Corumbene Community Care Program,21 LOWER Road New Norfolk 7140 TAS Australia,NA,NA,NA,"Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7140,TAS,6.10363E+11,helpathome@corumbene.org.au,http://www.corumbene.org.au,147.0700034,-42.7811894,27
Huon Eldercare Home Care Services,3278 Huon Highway FRANKLIN 7113 TAS Australia,"Australian, Australian Aboriginal, Australian South Sea Islander, Austrian, Bosnian, Chinese, Croatian, Dutch, Egyptian, Filipino, German, Greek, Hungarian, Indian, Italian, Lebanese, Macedonian, Maltese, Polish, Russian, Serbian, Sri Lankan, Ukrainian, Vietnamese","Anglican, Baptist, Buddhism, Catholic, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Other Christian, Other Protestant, Pentecostal, Salvation Army, Seventh-day Adventist, Uniting Church",NA,NA,7113,TAS,6.10363E+11,npage@huonregionalcare.org.au,http://www.huoneldercare.org.au,147.0164088,-43.0816738,28
SETAC Aged Care Services,19 MARY Street CYGNET 7112 TAS Australia,NA,NA,NA,"Continence Advisory, In-home respite care, Mobility, Wellness and reablement",7112,TAS,6.10363E+11,tracey.dillon@setac.org.au,NA,147.0776204,-43.1626411,29
Christian Homes Tasmania - Home Care Services,52 CHANNEL Highway KINGSTON 7050 TAS Australia,"Chinese, Dutch, Filipino, German, Greek, Indian, Italian, Lebanese, Polish, Russian, Vietnamese","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church","Armenian, Australian Indigenous Lang, Bosnian, Bulgarian, Chinese, Chinese (All Dialects), Czech, Danish, Dutch, Eastern Asian Languages, Eastern European Lang, English, Filipino/Tagalog, Finnish, Flemish, French, German, Greek, Italian, Mandarin, Spanish, Vietnamese","Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7050,TAS,6.10362E+11,jlorraine@christianhomes.org.au,http://www.christianhomes.org.au,147.3059572,-42.9754502,30
Regis Home Care Tasmania _„_ South,1 ACORN Drive WARRANE 7018 TAS Australia,"Bosnian, Chinese, Croatian, Dutch, Egyptian, Filipino, German, Greek, Hungarian, Indian, Italian, Lebanese, Macedonian, Maltese, Polish, Russian, Serbian, Sri Lankan, Ukrainian, Vietnamese","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church",English,"Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7018,TAS,6.113E+11,homecaresouth@regis.com.au,https://homecare.regis.com.au/why-regis-home-care/,147.3815695,-42.852715,31
The Queen Victoria Home,13 MILFORD Street LINDISFARNE 7015 TAS Australia,NA,NA,NA,"Assistive Technology, In-home respite care, Mobility, Wellness and reablement",7015,TAS,6.10362E+11,admin@queenvichome.com.au,https://qvcare.com.au,147.3577329,-42.8472819,32
Parkside - Home Care Packages & Respite Programs,34 WELLINGTON Road LINDISFARNE 7015 TAS Australia,NA,NA,NA,NA,7015,TAS,6.10362E+11,alex.yong@parkside.org.au,NA,147.3525427,-42.8468257,33
Glenview Outreach,2-10 Windsor Street GLENORCHY 7010 TAS Australia,"Bosnian, Chinese, Croatian, Dutch, Egyptian, Filipino, German, Greek, Hungarian, Indian, Italian, Lebanese, Macedonian, Maltese, Polish, Russian, Serbian, Sri Lankan, Ukrainian, Vietnamese","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church","Filipino/Tagalog, French, Italian, Japanese, Polish","Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7010,TAS,6.10363E+11,cjones@glenview.org.au,http://glenview.org.au/,147.2816501,-42.8350016,34
Migrant Resource Centre Tasmania - CHSP,Level21A Anfield Street Glenorchy 7010 TAS Australia,"Belgian, Bosnian, Chinese, Croatian, Dutch, Egyptian, Filipino, German, Greek, Hazara, Hungarian, Indian, Italian, Lebanese, Macedonian, Maltese, Polish, Russian, Serbian, Sri Lankan, Ukrainian, Vietnamese","Anglican, Anglican Catholic Church, Anglican Church of Australia, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church","Arabic, Cantonese, Croatian, Greek, Italian, Mandarin, Polish, Spanish, Vietnamese","Assistive Technology, Continence Advisory, Dementia, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision",7010,TAS,6.10362E+11,reception@mrctas.org.au,NA,147.2778561,-42.8285914,35
Karadi Aboriginal Corporation,4 Rothesay Circle GOODWOOD 7010 TAS Australia,Australian Aboriginal,NA,NA,Wellness and reablement,7010,TAS,6.10363E+11,info@karadi.org.au,http://www.karadi.org.au/,147.2926827,-42.8267634,36
Uniting AgeWell Southern Tasmania Community Services,92-94 MAIN Road MOONAH 7009 TAS Australia,"Bosnian, Chinese, Croatian, Dutch, Egyptian, Filipino, German, Greek, Hungarian, Indian, Italian, Lebanese, Macedonian, Maltese, Polish, Russian, Serbian, Sri Lankan, Ukrainian, Vietnamese","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church","Arabic, Cantonese, Croatian, Greek, Italian, Mandarin, Polish, Spanish, Vietnamese","Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7009,TAS,6.10363E+11,uasoutherntascs@unitingagewell.org,http://www.unitingagewell.org,147.2946368,-42.8467012,37
Independent Health Care Service Home Care Packages L1&2,4 SUNDERLAND Street MOONAH 7009 TAS Australia,"Chinese, Dutch, Greek, Indian, Italian, Polish, Spanish",NA,"Greek, Italian, Mandarin, Polish, Spanish","Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mobility, People with terminal illness, Vision, Wellness and reablement",7009,TAS,6.10362E+11,packagedcare@independenthealth.com.au,http://www.independenthealth.com.au,147.295697,-42.845444,38
Hobart District Nursing Service Inc Home Care Packages L1&2,2 BIRDWOOD Avenue MOONAH 7009 TAS Australia,NA,NA,NA,"Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7009,TAS,61036208500,enquiriestdn@thedistrictnurses.org.au,https://thedistrictnurses.org.au,147.2928294,-42.8425146,39
Community Based Support Inc. - Home Care Packages,24 SUNDERLAND Street MOONAH 7009 TAS Australia,NA,NA,NA,"Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, Vision, Wellness and reablement",7009,TAS,6.113E+11,homecarepackages@cbsaust.org.au,http://www.cbsaust.org.au/packaged-care/,147.2948775,-42.8440034,40
Mary's Grange Community Care,85 Creek Road  South MOONAH 7009 TAS Australia,NA,Catholic,NA,"Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7009,TAS,6.10362E+11,communitycares@scctas.org.au,NA,147.2947798,-42.8561515,41
EACH Home Care Packages Southern Tasmania,20 CREEK Road LENAH VALLEY 7008 TAS Australia,NA,NA,NA,"Assistive Technology, Dementia, Mental Health, Wellness and reablement",7008,TAS,6.10363E+11,rose.capewell@each.com.au,http://www.each.com.au,147.2890391,-42.8613737,42
Baldwin Living HomeServe (Vaucluse),319 MACQUARIE Street SOUTH HOBART 7004 TAS Australia,NA,NA,NA,NA,7004,TAS,6.10291E+11,lnankivell@baldwinliving.com.au,https://Baldwinliving.com.au,147.318192,-42.891008,43
Guardian Network Tasmania,114 BATHURST Street HOBART 7000 TAS Australia,"Chinese, Filipino, German, Greek, Indian, Italian, Maltese, Russian","Anglican, Catholic, Hinduism, Islam, Judaism, Uniting Church","Cantonese, Croatian, Greek, Italian, Mandarin, Vietnamese","Continence Advisory, Dementia, In-home respite care, People with terminal illness",7000,TAS,6.11301E+11,care@guardian-network.com.au,NA,147.3242659,-42.8821685,44
Bolton Clarke- RDNS Tasmania,193 MURRAY Street HOBART 7000 TAS Australia,"Bosnian, Chinese, Croatian, Dutch, Egyptian, Filipino, German, Greek, Hungarian, Indian, Italian, Lebanese, Macedonian, Maltese, Polish, Russian, Serbian, Sri Lankan, Ukrainian, Vietnamese","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church","Arabic, Cantonese, Croatian, Greek, Italian, Mandarin, Polish, Spanish, Vietnamese","Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7000,TAS,6.113E+11,packagedcaretas@rdns.com.au,http://www.rdns.com.au/services-we-provide/home-care-services/home-care-packages/,147.3199813,-42.8796013,45
Anglicare Tasmania - Home Care Packages,159-161 COLLINS Street HOBART 7000 TAS Australia,NA,NA,NA,"Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7000,TAS,6.118E+11,sharons1@anglicare-tas.org.au,http://https://www.anglicare-tas.org.au/,147.3246871,-42.8850676,46
Feros Care Home Care Packages - Southern Tasmania,"Level 6, 111 MACQUARIE Street HOBART 7000 TAS Australia","Acehnese, Acholi, Afghan, African American, Afrikaner, Akan, Albanian, Algerian, American, Amhara, Anglo-Burmese, Anglo-Indian, Angolan, Arab, Argentinian, Armenian, Assyrian, Australian, Australian Aboriginal, Australian South Sea Islander, Austrian, Azeri, Bahraini, Balinese, Bangladeshi, Barbadian, Bari, Basque, Batswana, Belarusan, Belgian, Bengali, Berber, Bermudan, Bhutanese, Bolivian, Bosnian, Brazilian, British, Bruneian, Bulgarian, Burgher, Burmese, Burundian, Cameroonian, Canadian, Caribbean Islander, Catalan, Central American, Central Asian, Central and West African, Chaldean, Channel Islander, Chilean, Chin, Chinese, Chinese Asian, Colombian, Congolese, Cook Islander, Coptic, Costa Rican, Croatian, Cuban, Cypriot, Czech, Danish, Darfu/Darfurian, Dinka, Dutch, Eastern European, Ecuadorian, Egyptian, Emirati, English, Eritrean, Estonian, Ethiopian, Fijian, Fijian Indian, Filipino, Finnish, Flemish, French, French Canadian, Frisian, Fulani, Georgian, German, Ghanaian, Gibraltarian, Gio, Greek, Guatemalan, Gujarati, Guyanese, Hawaiian, Hazara, Hispanic (North American), Hmong, Hungarian, Hutu, I-Kiribati, Icelandic, Igbo, Indian, Indian Tamil, Indonesian, Iranian, Iraqi, Irish, Italian, Ivorean, Jamaican, Japanese, Javanese, Jewish, Jordanian, Kadazan, Karen, Kashmiri, Kazakh, Kenyan, Khmer (Cambodian), Korean, Krahn, Kunama, Kurdish, Kuwaiti, Kyrgyz, Lao, Latvian, Lebanese, Liberian, Libyan, Lithuanian, Luxembourg, Macedonian, Madi (Ma'di), Madurese, Mainland South-East Asian, Malawian, Malay, Malayali, Maldivian, Maltese, Mandaean, Mandinka, Manx, Maori, Maritime South-East Asian, Masai, Mauritian, Mayan, Melanesian and Papuan, Mexican, Micronesian, Moldovan, Mon, Mongolian, Montenegrin, Moroccan, Mozambican, Namibian, Native North American Indian, Nauruan, Nepalese, New Caledonian, New Zealander, Ni-Vanuatu, Nicaraguan, Nigerian, Niuean, North American, Northern European, Norwegian, Nubian, Nuer, Ogaden, Omani, Oromo, Otr Nth African & Mid. Eastern, Pakistani, Palestinian, Papua New Guinean, Paraguayan, Parsi, Pathan, Peoples of the Sudan, Peruvian, Polish, Polynesian, Portuguese, Puerto Rican, Punjabi, Qatari, Rohingya, Roma/Gypsy, Romanian, Russian, Rwandan, Salvadoran, Samoan, Saudi Arabian, Scottish, Senegales, Serbian, Seychellois, Shona, Sierra Leonean, Sikh, Sindhi, Singaporean, Sinhalese, Slovak, Slovene, Solomon Islander, Somali, Sorb/Wend, South African, South American, South Eastern European, South Sudanese, Southern Asian, Southern European, Southern and East African, Spanish, Sri Lankan, Sri Lankan Tamil, Sudanese, Sundanese, Swahili, Swazilander, Swedish, Swiss, Syrian, Tahitian, Taiwanese, Tajik, Tanzanian, Tatar, Telugu, Temoq, Thai, Themne, Tibetan, Tigrayan, Tigre, Timorese, Togolese, Tokelauan, Tongan, Torres Strait Islander, Trinidadian (Tobagonian), Tunisian, Turkish, Turkmen, Tuvaluan, Ugandan, Uighur, Ukrainian, Uruguayan, Uzbek, Venezuelan, Vietnamese, Vlach, Welsh, Western European, Yemeni, Yoruba, Zambian, Zimbabwean, Zulu","Aboriginal Evang. Missions, Agnosticism, Albanian Orthodox, Ancestor Veneration, Ancient Church of the East, Anglican, Anglican Catholic Church, Anglican Church of Australia, Animism, Antiochian Orthodox, Apostolic Church (Australia), Apostolic Church of Queensland, Armenian Apostolic, Assemblies of God, Assyrian Apostolic, Assyrian Church of the East, Atheism, Aust. Aboriginal Trad. Religs., Baha'i, Baptist, Bethesda Churches, Born Again Christian, Brethren, Buddhism, Caodaism, Catholic, Chaldean Catholic, Chinese Religions, Christadelphians, Christian, Christian & Missionary Allnce., Christian City Church, Christian Life Churches Int_„Žl, Christian Outreach Centres, Christian Revival Crusade, Christian Science, Church of Christ (Non-denom.), Church of Jesus Christ of LDS, Church of Scientology, Church of the Nazarene, Churches of Christ, Churches of Christ (Conf.), Community of Christ, Confucianism, Congregational, Coptic Orthodox Church, Druidism, Druse, Eastern Orthodox, Eckankar, Ethiopian Orthodox Church, Ethnic Evangelical Churches, Faith Churches, Foursquare Gospel Church, Free Reformed, Full Gospel Church, Gnostic Christians, Greek Orthodox, Hinduism, Humanism, Independent Evang. Churches, International Church of Christ, Islam, Jainism, Japanese Religions, Jehovah's Witnesses, Judaism, Latter-day Saints, Liberal Catholic Church, Lutheran, Macedonian Orthodox, Maronite Catholic, Melkite Catholic, Nature Religions, New Apostolic Church, No religion, Oriental Orthodox, Other Christian, Other Protestant, Paganism, Pantheism, Pentecostal, Presbyterian, Presbyterian and Reformed, Rastafarianism, Ratana (Maori), Rationalism, Reformed, Religious Science, Religious Society of Friends, Revival Centres, Rhema Family Church, Romanian Orthodox, Russian Orthodox, Salvation Army, Satanism, Serbian Orthodox, Seventh-day Adventist, Shinto, Sikhism, Spiritualism, Sukyo Mahikari, Syrian Orthodox Church, Taoism, Temple Society, Tenrikyo, Theosophy, Ukrainian Catholic, Ukrainian Orthodox, Unitarian, United Pentecostal, Uniting Church, Wesleyan Methodist Church, Western Catholic, Wiccan/Witchcraft, Worldwide Church of God, Zoroastrianism",NA,"Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7000,TAS,6.11301E+11,homecarepackages@feroscare.com.au,http://www.feroscare.com.au/home-care/home-care-packages,147.3291168,-42.8830833,47
TAS - KinCare - Southern Tasmania,Unit 12 39 Murray Street HOBART 7000 TAS Australia,"Bosnian, Chinese, Croatian, Dutch, Egyptian, Filipino, German, Greek, Hungarian, Indian, Italian, Lebanese, Macedonian, Maltese, Polish, Russian, Serbian, Sri Lankan, Ukrainian, Vietnamese","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church",NA,Dementia,7000,TAS,6.11301E+11,mail@kincare.com.au,http://www.kincare.com.au,147.3273972,-42.8834034,48
Tasmanian Aboriginal Corporation,198 ELIZABETH Street HOBART 7000 TAS Australia,Australian Aboriginal,NA,NA,NA,7000,TAS,6162340777,gail.s@tacinc.com.au,NA,147.321372,-42.879195,49
EPIS Newman,702 Les Tutt Drive Newman 6753 WA Australia,"Australian, Australian Aboriginal",NA,"Australian Indigenous Lang, English","Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",6753,WA,6.10892E+11,newman@epis.org.au,http://www.epis.org.au,119.7351581,-23.3486584,50
EPIS Home Care Packages,32 WATTLE Street TOM PRICE 6751 WA Australia,"Australian, Australian Aboriginal",NA,Australian Indigenous Lang,"Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",6751,WA,6.10448E+11,operations@epis.org.au,http://www.epis.org.au,117.7924123,-22.6949025,51
